,restaurant_name,Category,Address,Phone_number,rating,price,noise_level,Distance_from_94114,Distance_from_94501,Distance_from_94607,Distance_from_94707
31,Ton Kiang, Chinese, 5821 Geary Blvd. San Francisco, (415) 386-8530, 1    , 3    , 3    ,4.125,18.576,13.937000000000001,4.125
32,Yank Sing, Chinese, 101 Spear St. San Francisco, (415) 957-9300, 2    , 3    , 4    ,4.253,12.700999999999999,8.062000000000001,4.253
33,Canton, Chinese, 655 Folsom St. San Francisco, (415) 495-3064, 1    , 2.5  , NaN  ,3.516,12.411,7.772,3.516
34,Dragon Well, Chinese, 2142 Chestnut St. San Francisco, (415) 474-6888, 1    , 2.5  , 5    ,3.195,15.877,11.238,3.195
35,Gold Mountain, Chinese, 644 Broadway San Francisco, (415) 296-7733, 2    , 2.5  , 2    ,3.862,13.805,9.166,3.862
36,Gourmet Carousel, Chinese, 1559 Franklin St. San Francisco, (415) 771-2044, 1    , 2.5  , 2    ,2.574,14.127,9.488,2.574
37,Great Eastern, Chinese, 649 Jackson St. San Francisco, (415) 986-2500, 2    , 2.5  , 3    ,3.53,13.225999999999999,8.587,3.53
38,Jasmine Tea House, Chinese, 3253 Mission St. San Francisco, (415) 826-6288, 1    , 2.5  , 2    ,1.798,16.094,11.455,1.798
39,Kirin, Chinese, 6135 Geary Blvd. San Francisco, (415) 752-2268, 1    , 2.5  , 2    ,4.309,18.76,14.120999999999999,4.309
40,Lichee Garden, Chinese, 1416 Powell St. San Francisco, (415) 397-2290, NaN  , 2.5  , NaN  ,3.748,13.970999999999998,9.332,3.748
41,Louie's California Chinese Cuisine, Chinese, 646 Washington St. San Francisco, (415) 291-8038, 3    , 2.5  , 1    ,3.5189999999999997,13.363,8.724,3.5189999999999997
42,M.Y. China, Chinese, 845 Market St. San Francisco, (415) 580-3001, 2    , 2.5  , 4    ,2.5069999999999997,13.222000000000001,8.583,2.5069999999999997
43,Old Mandarin Islamic, Chinese, 3132 Vicente St. San Francisco, (415) 564-3481, 1    , 2.5  , 2    ,4.971,23.945,19.305999999999997,4.971
44,R & G Lounge, Chinese, 631 Kearny St. San Francisco, (415) 982-7877, 1    , 2.5  , NaN  ,3.417,13.112,8.472999999999999,3.417
45,S&T Hong Kong Seafood, Chinese, 2588 Noriega San Francisco, (415) 665-8338, 1    , 2.5  , 1    ,4.038,19.436,14.797,4.038
46,Spices I, Chinese, 294 Eighth Ave. San Francisco, (415) 752-8884, 1    , 2.5  , 4    ,3.425,17.754,13.115,3.425
47,Spices II, Chinese, 291 Sixth Ave. San Francisco, (415) 752-8885, 1    , 2.5  , 4    ,3.32,17.649,13.01,3.32
48,Burma Super Star, Chinese, 309 Clement St. San Francisco, (415) 387-2147, 1    , 2    , 4    ,3.201,17.53,12.890999999999998,3.201
49,Coriya Restaurant, Chinese, 852 Clement St. San Francisco, (415) 387-7888, 2    , 2    , 4    ,3.509,17.838,13.199000000000002,3.509
50,Dragon River, Chinese, 5045 Geary Blvd. San Francisco, (415) 387-6698, 1    , 2    , 4    ,3.659,17.988,13.349,3.659
51,Eliza's, Chinese, 2877 California San Francisco, (415) 621-4819, 2    , 2    , 4    ,2.21,16.54,11.901,2.21
52,Eric's Restaurant, Chinese, 1500 Church St. San Francisco, (415) 282-0919, 2    , 2    , 4    ,1.245,16.383,11.744000000000002,1.245
53,Green Garden, Chinese, 434 Broadway San Francisco, (415) 392-8338, 1    , 2    , 2    ,4.041,13.626,8.987,4.041
54,Hakkasan, Chinese, 1 Kearny St. San Francisco, (415) 829-8148, 1    , 2    , NaN  ,3.073,12.953,8.314,3.073
55,House of Nanking, Chinese, 919 Kearny St. San Francisco, (415) 421-1429, 1    , 2    , 4    ,3.545,13.241,8.602,3.545
56,Jai Yun, Chinese, 680 Clay San Francisco, (415) 981-7438, 3    , 2    , 3    ,3.3760000000000003,13.071,8.432,3.3760000000000003
57,Lucky Fortune Seafood Restaurant, Chinese, 5715 Geary Blvd. San Francisco, (415) 751-2888, 1    , 2    , 2    ,4.062,18.512999999999998,13.874,4.062
58,Mama Ji's, Chinese, 4416 18th St. San Francisco, (415) 626-4416, 1    , 2    , 2    ,0.32,15.735999999999999,11.097000000000001,0.32
59,Mayflower, Chinese, 6255 Geary Blvd. San Francisco, (415) 387-8338, 1    , 2    , NaN  ,4.381,18.832,14.193,4.381
60,Miriwa, Chinese, 728 Pacific San Francisco, (415) 433-5230, 1    , 2    , NaN  ,3.4989999999999997,13.978,9.339,3.4989999999999997
61,Nan King Road Bistro, Chinese, 1360 9th Ave. San Francisco, (415) 753-2900, 1    , 2    , 2    ,2.176,17.464000000000002,12.825,2.176
62,Shanghai Dumpling King, Chinese, 3319 Balboa St. San Francisco, (415) 387-2088, 1    , 2    , 3    ,4.688,19.021,14.382,4.688
63,Taiwan Restaurant, Chinese, 445 Clement St. San Francisco, (415) 387-1789, 1    , 2    , NaN  ,3.335,17.664,13.025,3.335
64,The Pot Sticker, Chinese, 150 Waverly Place San Francisco, (415) 397-9985, 1    , 2    , 1    ,3.344,13.231,8.592,3.344
65,Wo Hing General Store, Chinese, 584 Valencia St. San Francisco, (415) 552-2510, 2    , 2    , 4    ,1.1,14.993,10.354000000000001,1.1
66,Y. Ben House, Chinese, 835 Pacific Ave. San Francisco, (415) 397-3168, 1    , 2    , 4    ,3.842,14.055,9.416,3.842
67,Mission Chinese Food, Chinese, 2234 Mission St. San Francisco, (415) 863-2800, 2    , 1.5  , 4    ,1.143,15.035,10.395999999999999,1.143
68,Cheung Hing, Chinese, 2339 Noriega St. San Francisco, (415) 665-3271, 1    , 3    , 2    ,3.891,19.289,14.65,3.891
69,China First, Chinese, 336 Clement St. San Francisco, (415) 387-8370, 1    , 2.5  , 3    ,3.2239999999999998,17.553,12.914000000000001,3.2239999999999998
70,Hakka Restaurant, Chinese, 4401 Cabrillo St. San Francisco, (415) 876-6898, 2    , 3    , 2    ,5.188,19.521,14.882,5.188
71,Henry's Hunan Restaurant, Chinese, 110 Natoma St. San Francisco, (415) 456-4999, 2    , 4    , 1    ,3.7569999999999997,12.482000000000001,7.843,3.7569999999999997
72,Hunan Cafe No. 2, Chinese, 4450 Cabrillo St. San Francisco, (415) 751-1283, 1    , 3    , 2    ,5.228,19.561,14.922,5.228
73,Just Won Ton, Chinese, 1241 Vicente St. San Francisco, (415) 681-2999, 1    , 2.5  , 2    ,3.467,20.820999999999998,16.182000000000002,3.467
74,Tsing Tao Chinese, Chinese, 3107 Clement St San Francisco, (415) 387-2344, 1    , 2.5  , 2    ,4.956,19.289,14.65,4.956
75,Shanghai House, Chinese, 3641 Balboa St. San Francisco, (415) 831-9288, 1    , 2.5  , 2    ,4.864,19.197,14.558,4.864
76,Shangri-La Vegetarian Chinese, Chinese, 2026 Irving St. San Francisco, (415) 731-2548, 1    , 3    , 2    ,2.9730000000000003,18.108,13.469000000000001,2.9730000000000003
77,Kappa, Japanese, 1700 Post St. San Francisco, (415) 673-6004, 3    , 3    , 1    ,2.4130000000000003,15.972000000000001,11.333,2.4130000000000003
78,Keiko A Nob Hill, Japanese, 1250 Jones St. San Francisco, (415) 829-7141, 4    , 3    , 1    ,2.97,13.607999999999999,8.969,2.97
79,Kyo-ya, Japanese, 2 New Montgomery San Francisco, (415) 546-5090, 4    , 3    , 1    ,3.8789999999999996,12.765999999999998,8.127,3.8789999999999996
80,Nojo , Japanese, 231 Franklin St. San Francisco, (415) 896-4587, 2    , 3    , 5    ,1.744,15.104000000000001,10.465,1.744
81,Yoshi's San Francisco, Japanese, 1330 Fillmore St. San Francisco, (415) 655-5600, 3    , 3    , 2    ,2.0069999999999997,15.605,10.966,2.0069999999999997
82,Domo , Japanese, 511 Laguna St. San Francisco, (415) 861-8887, 2    , 2.5  , 3    ,1.5030000000000001,14.883,10.244000000000002,1.5030000000000001
83,Eiji , Japanese, 317 Sanchez St. San Francisco, (415) 558-8149, 2    , 2.5  , 2    ,0.6859999999999999,15.218,10.579,0.6859999999999999
84,Ichi Sushi + Ni Restaurant, Japanese, 3282 Mission St. San Francisco, (415) 525-4750, 3    , 2.5  , 4    ,1.786,16.133,11.494000000000002,1.786
85,Izakaya Sozai, Japanese, 1500 Irving St. San Francisco, (415) 742-5122, 2    , 2.5  , 3    ,2.778,17.813,13.174000000000001,2.778
86,Izakaya Yuzuki, Japanese, 598 Guerrero St. San Francisco, (415) 556-9898, 3    , 2.5  , 4    ,1.068,15.463,10.824000000000002,1.068
87,Juban, Japanese, 1581 Webster St. San Francisco, (415) 776-5822, 1    , 2.5  , 2    ,2.3280000000000003,15.745,11.106,2.3280000000000003
88,Kiji , Japanese, 1009 Guerrero St. San Francisco, (415) 282-0400, 2    , 2.5  , 2    ,1.321,15.704,11.065,1.321
89,Koo  , Japanese, 408 Irving St. San Francisco, (415) 731-7077, 2    , 2.5  , 3    ,2.032,17.169,12.53,2.032
90,Lunc , Japanese, 704 Sutter St. San Francisco, (415) 771-0803, 2    , 2.5  , NaN  ,2.7510000000000003,14.052999999999999,9.414,2.7510000000000003
91,Maki , Japanese, 1825 Post St. San Francisco, (415) 921-5215, 2    , 2.5  , 3    ,2.311,15.779000000000002,11.14,2.311
92,Minako, Japanese, 2154 Mission St. San Francisco, (415) 864-1888, 2    , 2.5  , 2    ,1.1440000000000001,14.940999999999999,10.302,1.1440000000000001
93,Nagano Sushi, Japanese, 3727 Geary Blvd. San Francisco, (415) 221-9811, 2    , 2.5  , 2    ,2.9019999999999997,17.230999999999998,12.592,2.9019999999999997
94,O Izakaya, Japanese, 1625 Post St. San Francisco, (415) 614-5431, 2    , 2.5  , 2    ,2.491,15.894,11.255,2.491
95,Ozumo, Japanese, 161 Steuart St. San Francisco, (415) 882-1333, 4    , 2.5  , 3    ,4.297,12.74,8.101,4.297
96,Roka Akor, Japanese, 801 Montgomery Street San Francisco, (415) 362-8887, 4    , 2.5  , 4    ,3.435,13.13,8.491,3.435
97,Skool, Japanese, 1725 Alameda St. San Francisco, (415) 255-8800, 3    , 2.5  , 4    ,2.459,13.593,8.954,2.459
98,Takara, Japanese, 22 Peace Plaza San Francisco, (415) 921-2000, 2    , 2.5  , 2    ,2.427,15.958,11.319,2.427
99,Alexander's Steakhouse, Japanese, 448 Brannan St. San Francisco, (415) 495-1111, 4    , 2    , 4    ,3.6260000000000003,12.578,7.939,3.6260000000000003
100,Blowfish Sushi to Die For, Japanese, 2170 Bryant St. San Francisco, (415) 285-3848, 2    , 2    , 4    ,1.8459999999999999,14.205,9.566,1.8459999999999999
101,Daimaru Sushi, Japanese, 290 Sanchez San Francisco, (415) 863-9128, 2    , 2    , 3    ,0.7120000000000001,15.190999999999999,10.552,0.7120000000000001
102,Ebisu, Japanese, 1283 Ninth Ave. San Francisco, (415) 566-1770, 2    , 2    , 4    ,2.273,17.367,12.728,2.273
103,Hana Zen, Japanese, 115 Cyril Magnin San Francisco, (415) 421-2101, 2    , 2    , 2    ,2.544,13.571,8.932,2.544
104,Iroha, Japanese, 1728 Buchanan St. San Francisco, (415) 922-0321, 1    , 2    , 2    ,2.4930000000000003,14.335,9.696,2.4930000000000003
105,Izakaya Hashiboro Kou, Japanese, 1560 Fillmore St. San Francisco, (415) 441-9294, 3    , 2    , 3    ,2.1830000000000003,15.78,11.140999999999998,2.1830000000000003
106,Izakaya Roku, Japanese, 1819 Market St. San Francisco, (415) 861-6500, 2    , 2    , 3    ,1.325,14.565,9.926,1.325
107,Kabuto, Japanese, 5121 Geary Blvd. San Francisco, (415) 752-5652, 2    , 2    , 3    ,3.716,18.045,13.405999999999999,3.716
108,Kappou Gomi, Japanese, 5524 Geary Blvd. San Francisco, (415) 221-5353, 3    , 2    , 1    ,4.272,18.723,14.084000000000001,4.272
109,Kitaro Japanese Restaurant, Japanese, 5723 Geary Blvd. San Francisco, (415) 386-2777, 1    , 2    , 3    ,4.058,18.509,13.87,4.058
110,Mifune, Japanese, 1737 Post St. San Francisco, (415) 922-0337, 1    , 2    , NaN  ,2.412,15.972999999999999,11.334000000000001,2.412
111,Nombe, Japanese, 2491 Mission St. San Francisco, (415) 681-7150, 2    , 2    , 4    ,1.419,15.311,10.672,1.419
112,Sakesan Sushi & Bistro, Japanese, 626 Clement St. San Francisco, (415) 876-6313, 3    , 2    , 3    ,3.389,17.718,13.079,3.389
113,Sudachi, Japanese, 1217 Sutter St. San Francisco, (415) 931-6951, 2    , 2    , 2    ,2.5,13.944,9.305,2.5
114,Tataki, Japanese, 2815 California St. San Francisco, (415) 931-1182, 3    , 2    , 4    ,2.154,16.484,11.845,2.154
115,Tsunami Sushi & Sake Bar, Japanese, 1306 Fulton St. San Francisco, (415) 567-7664, 2    , 2    , 4    ,1.369,15.699000000000002,11.06,1.369
116,Hotei, Japanese, 1290 Ninth Ave. San Francisco, (415) 753-6045, 1    , 1.5  , 3    ,2.263,17.378,12.739,2.263
117,Moki's Sushi and Pacific Grill, Japanese, 615 Cortland Ave. San Francisco, (415) 970-9336, 2    , 1.5  , 3    ,2.327,16.105999999999998,11.467,2.327
118,Coco Bang, Korean, 550 Taylor St. San Francisco, (415) 292-5144, 2    , 2    , 3    ,2.8089999999999997,13.432,8.793,2.8089999999999997
119,Korea House, Korean, 1640 Post St. San Francisco, (415) 563-1388, 3    , 2    , 3    ,2.481,15.902999999999999,11.264000000000001,2.481
120,Seoul Garden, Korean, 22 Peace Plaza San Francisco, (415) 563-7664, 2    , 2    , 3    ,2.427,15.958,11.319,2.427
121,A16  , Italian, 2355 Chestnut St. San Francisco, (415) 771-2216, 3    , 3    , 4    ,3.008,16.064,11.425,3.008
122,Acquerello, Italian, 1722 Sacramento St. San Francisco, (415) 567-5432, 4    , 4.5  , 1    ,2.763,14.093,9.454,2.763
123,Ala Romana, Italian, 1098 Jackson St. San Francisco, (415) 292-3699, 3    , 2    , 4    ,3.4210000000000003,13.835999999999999,9.197000000000001,3.4210000000000003
124,Albona Ristorante Istriano, Italian, 545 Francisco St. San Francisco, (415) 441-1040, 2    , 2.5  , 3    ,4.1930000000000005,14.459000000000001,9.82,4.1930000000000005
125,Allegro, Italian, 1701 Jones St. San Francisco, (415) 928-4002, 2    , 2.5  , 2    ,3.34,13.879000000000001,9.24,3.34
126,Amarena, Italian, 2162 Larkin St. San Francisco, (415) 447-0441, 2    , 1.5  , 3    ,3.2889999999999997,14.602,9.963,3.2889999999999997
127,Americano Restaurant and Lounge, Italian, 8 Mission St. San Francisco, (415) 278-3777, 4    , 2.5  , 3    ,4.346,12.789000000000001,8.15,4.346
128,Aperto, Italian, 1434 18th St. San Francisco, (415) 252-1625, 2    , 2    , 4    ,2.807,14.210999999999999,9.572000000000001,2.807
129,Armani Cafe, Italian, 1 Grant Ave. San Francisco, (415) 677-9010, 2    , 2.5  , 2    ,2.945,13.089,8.45,2.945
130,Barbacco, Italian, 230 California St. San Francisco, (415) 955-1919, 2    , 3    , 4    ,3.2889999999999997,12.753,8.113999999999999,3.2889999999999997
131,Bella Trattoria, Italian, 3854 Geary Blvd. San Francisco, (415) 221-0305, 3    , 2.5  , 2    ,3.025,17.354,12.715,3.025
132,Beretta, Italian, 1199 Valencia St. San Francisco, (415) 695-1199, 2    , 3    , 4    ,1.517,15.661,11.022,1.517
133,Brindisi Cucina di Mare, Italian, 88 Belden Place San Francisco, (415) 593-8000, 2    , 2.5  , 3    ,3.2560000000000002,12.952,8.312999999999999,3.2560000000000002
134,Cafe Altano, Italian, 602 Hayes St. San Francisco, (415) 252-1200, 2    , 2.5  , 2    ,1.546,14.925999999999998,10.287,1.546
135,Cafe Tiramisu, Italian, 28 Belden Place San Francisco, (415) 421-7044, 3    , 2.5  , 3    ,3.275,13.071,8.432,3.275
136,Cafe Zoetrope, Italian, 916 Kearny St. San Francisco, (415) 291-1700, 2    , 2    , 2    ,3.5469999999999997,13.243,8.604,3.5469999999999997
137,Caffe d'Melanio, Italian, 1314 Ocean Ave. San Francisco, (415) 333-3665, 2    , 2.5  , 2    ,4.188,19.271,14.632,4.188
138,Caffe Macaroni, Italian, 59 Columbus San Francisco, (415) 956-9737, 2    , 2.5  , 2    ,3.4419999999999997,13.138,8.499,3.4419999999999997
139,Campanula, Italian, 701 Union St. San Francisco, (415) 829-7766, 2    , 1.5  , 4    ,3.91,13.600999999999999,8.962,3.91
140,Capo's, Italian, 641 Vallejo St. San Francisco, (415) 986-8998, 3    , 2.5  , 4    ,3.9210000000000003,13.399000000000001,8.76,3.9210000000000003
141,Capp's Corner, Italian, 1600 Powell St. San Francisco, (415) 989-2589, 2    , 2    , 3    ,3.861,13.645,9.006,3.861
142,Chow , Italian, 215 Church St. San Francisco, (415) 552-2469, 1    , 3    , 3    ,0.91,14.962,10.323,0.91
143,Claudine, Italian, 8 Claude Lane San Francisco, (415) 362-1988, 3    , 2.5  , 3    ,3.093,13.048,8.408999999999999,3.093
144,Credo, Italian, 360 Pine St. San Francisco, (415) 693-0360, 4    , 1    , 5    ,3.14,12.835,8.196,3.14
145,Cupola, Italian, 845 Market St. San Francisco, (415) 896-5600, 2    , 2.5  , 4    ,2.5069999999999997,13.222000000000001,8.583,2.5069999999999997
146,Da Flora, Italian, 701 Columbus Ave. San Francisco, (415) 981-4664, 3    , 2.5  , 3    ,4.1419999999999995,13.667,9.027999999999999,4.1419999999999995
147,Delfina, Italian, 3621 18th St. San Francisco, (415) 552-4055, 3    , 3    , 4    ,0.825,15.259,10.62,0.825
148,Dino's Pizza & Dining, Italian, 2101 Fillmore St. San Francisco, (415) 922-4700, 2    , 2.5  , 3    ,2.508,16.102999999999998,11.464,2.508
149,E'Angelo, Italian, 2234 Chestnut St. San Francisco, (415) 567-6164, 2    , 2.5  , 4    ,3.1210000000000004,15.950999999999999,11.312000000000001,3.1210000000000004
150,Farina, Italian, 3560 18th St. San Francisco, (415) 565-0360, 4    , 1.5  , 3    ,0.9009999999999999,15.182,10.543,0.9009999999999999
151,Figaro, Italian, 414 Columbus Ave. San Francisco, (415) 398-1300, 2    , 2    , 3    ,4.024,13.55,8.911,4.024
152,Fino , Italian, 624 Post St. San Francisco, (415) 928-2080, 2    , 2    , 2    ,2.815,13.842,9.203,2.815
153,Firewood Cafe, Italian, 4248 18th St. San Francisco, (415) 252-0999, 1    , 2.5  , 2    ,0.22399999999999998,15.639000000000001,11.0,0.22399999999999998
154,Flour + Water, Italian, 2401 Harrison St. San Francisco, (415) 826-7000, 3    , 3    , 4    ,1.681,14.386,9.747,1.681
155,Gialina, Italian, 2842 Diamond St San Francisco, (415) 239-8500, 2    , 3    , 5    ,2.335,18.148,13.509,2.335
156,Gioia, Italian, 2240 Polk St. San Francisco, (415) 359-0971, 3    , 2.5  , 5    ,3.195,14.69,10.051,3.195
157,Il Fornaio, Italian, 1265 Battery St. San Francisco, (415) 986-0100, 2    , 2    , 3    ,3.929,13.738,9.099,3.929
158,Jackson Fillmore, Italian, 2506 Fillmore St. San Francisco, (415) 346-5288, 2    , 1.5  , 4    ,2.766,15.419,10.78,2.766
159,Kuleto's, Italian, 221 Powell St. San Francisco, (415) 397-7720, 3    , 1    , 4    ,2.657,13.311,8.672,2.657
160,L'Osteria Del Forno, Italian, 519 Columbus Ave. San Francisco, (415) 982-1124, 2    , 2    , 4    ,3.964,13.49,8.851,3.964
161,La Ciccia, Italian, 291 30th St. San Francisco, (415) 550-8114, 3    , 2.5  , 4    ,1.569,16.531,11.892000000000001,1.569
162,La Nebbia, Italian, 1781 Church St. San Francisco, (415) 874-9924, 2    , 2.5  , 4    ,1.551,16.541,11.902000000000001,1.551
163,La Traviata, Italian, 2854 Mission St. San Francisco, (415) 282-0500, 2    , 2.5  , 3    ,1.811,15.704,11.065,1.811
164,Leopold's, Italian, 2400 Polk St. San Francisco, (415) 474-2000, 2    , 2.5  , 5    ,3.2939999999999996,14.786,10.147,3.2939999999999996
165,Little Joe's, Italian, 85 Fifth St. San Francisco, (415) 433-4343, 2    , 2    , 3    ,2.569,13.197000000000001,8.558,2.569
166,Local Kitchen & Wine Merchant, Italian, 330 First St. San Francisco, (415) 777-4200, 2    , 2.5  , 4    ,3.717,12.165,7.526,3.717
167,Locanda, Italian, 557 Valencia St. San Francisco, (415) 863-6800, 3    , 2.5  , 4    ,1.131,14.960999999999999,10.322000000000001,1.131
168,Luce , Italian, 888 Howard St. San Francisco, (415) 616-6566, 4    , 2.5  , 2    ,2.7089999999999996,13.097999999999999,8.459,2.7089999999999996
169,Lupa , Italian, 4109 24th St. San Francisco, (415) 282-5872, 2    , 2    , 3    ,0.564,16.218,11.579,0.564
170,Macaroni Sciue Sciue, Italian, 124 Columbus Ave. San Francisco, (415) 217-8400, 1    , 2    , 3    ,3.467,13.163,8.524,3.467
171,Manzoni, Italian, 2788 Diamond St. San Francisco, (415) 334-2251, 3    , 2    , 3    ,2.271,18.204,13.565,2.271
172,Mescolanza, Italian, 2221 Clement St. San Francisco, (415) 668-2221, 2    , 2    , 3    ,4.32,18.774,14.135,4.32
173,Mozzeria, Italian, 3228 16th St. San Francisco, (415) 489-0963, 2    , 2    , 3    ,1.034,15.06,10.421,1.034
174,Nob Hill Cafe, Italian, 1152 Taylor St. San Francisco, (415) 776-6500, 2    , 2    , 3    ,3.284,13.699000000000002,9.06,3.284
175,North Beach Restaurant, Italian, 1512 Stockton St. San Francisco, (415) 392-1700, 3    , 2    , 2    ,4.066,14.616,9.977,4.066
176,Original Joe's, Italian, 601 Union St. San Francisco, (415) 775-4877, 3    , 2.5  , 3    ,4.013,14.562000000000001,9.923,4.013
177,Osteria, Italian, 3277 Sacramento St. San Francisco, (415) 771-5030, 3    , 1.5  , 2    ,2.5660000000000003,17.034000000000002,12.395,2.5660000000000003
178,Pane e Vino, Italian, 1715 Union St. San Francisco, (415) 346-2111, 3    , 1.5  , 3    ,3.388,15.065999999999999,10.427,3.388
179,Park Chow, Italian, 1240 Ninth Ave. San Francisco, (415) 665-9912, 1    , 3    , 3    ,2.278,17.313,12.674000000000001,2.278
180,Saison, American, 178 Townsend St. San Francisco, (415) 828-7990, 4    , 4    , 2    ,3.694,12.562999999999999,7.9239999999999995,3.694
181,Gary Danko, American, 800 North Point St. San Francisco, (415) 749-2060, 4    , 3.5  , 3    ,1.92,14.23,9.591000000000001,1.92
182,Michael Mina, American, 252 California St. San Francisco, (415) 397-9222, 4    , 3.5  , 4    ,3.285,12.749,8.11,3.285
183,One Market, American, 1 Market St. San Francisco, (415) 777-5577, 4    , 3.5  , 4    ,4.513,12.956,8.317,4.513
184,Prospect, American, 300 Spear St. San Francisco, (415) 247-7770, 3    , 3.5  , 4    ,4.0280000000000005,12.47,7.831,4.0280000000000005
185,Sons & Daughters, American, 708 Bush St. San Francisco, (415) 391-8311, 4    , 3.5  , 2    ,2.915,13.100999999999999,8.462,2.915
186,Spruce, American, 3640 Sacramento St. San Francisco, (415) 931-5100, 4    , 3.5  , 3    ,2.872,17.202,12.562999999999999,2.872
187,Abbot's Cellar, American, 742 Valencia St. San Francisco, (415) 626-8700, 4    , 3    , 4    ,1.021,15.165,10.526,1.021
188,Bix  , American, 56 Gold St. San Francisco, (415) 433-6300, 4    , 3    , 4    ,3.636,13.661,9.022,3.636
