Restaurant_name, Category, Address, Phone_number, rating, price, noise_level 
Yank Sing, Chinese, 101 Spear St. San Francisco, (415) 957-9300, 2    , 3    , 4    
Canton, Chinese, 655 Folsom St. San Francisco, (415) 495-3064, 1    , 2.5  , NaN  
Dragon Well, Chinese, 2142 Chestnut St. San Francisco, (415) 474-6888, 1    , 2.5  , 5    
Gold Mountain, Chinese, 644 Broadway San Francisco, (415) 296-7733, 2    , 2.5  , 2    
Gourmet Carousel, Chinese, 1559 Franklin St. San Francisco, (415) 771-2044, 1    , 2.5  , 2    
Great Eastern, Chinese, 649 Jackson St. San Francisco, (415) 986-2500, 2    , 2.5  , 3    
Jasmine Tea House, Chinese, 3253 Mission St. San Francisco, (415) 826-6288, 1    , 2.5  , 2    
Kirin, Chinese, 6135 Geary Blvd. San Francisco, (415) 752-2268, 1    , 2.5  , 2    
Lichee Garden, Chinese, 1416 Powell St. San Francisco, (415) 397-2290, NaN  , 2.5  , NaN  
Louie's California Chinese Cuisine, Chinese, 646 Washington St. San Francisco, (415) 291-8038, 3    , 2.5  , 1    
M.Y. China, Chinese, 845 Market St. San Francisco, (415) 580-3001, 2    , 2.5  , 4    
Old Mandarin Islamic, Chinese, 3132 Vicente St. San Francisco, (415) 564-3481, 1    , 2.5  , 2    
R & G Lounge, Chinese, 631 Kearny St. San Francisco, (415) 982-7877, 1    , 2.5  , NaN  
S&T Hong Kong Seafood, Chinese, 2588 Noriega San Francisco, (415) 665-8338, 1    , 2.5  , 1    
Spices I, Chinese, 294 Eighth Ave. San Francisco, (415) 752-8884, 1    , 2.5  , 4    
Spices II, Chinese, 291 Sixth Ave. San Francisco, (415) 752-8885, 1    , 2.5  , 4    
Burma Super Star, Chinese, 309 Clement St. San Francisco, (415) 387-2147, 1    , 2    , 4    
Coriya Restaurant, Chinese, 852 Clement St. San Francisco, (415) 387-7888, 2    , 2    , 4    
Dragon River, Chinese, 5045 Geary Blvd. San Francisco, (415) 387-6698, 1    , 2    , 4    
Eliza's, Chinese, 2877 California San Francisco, (415) 621-4819, 2    , 2    , 4    
Eric's Restaurant, Chinese, 1500 Church St. San Francisco, (415) 282-0919, 2    , 2    , 4    
Green Garden, Chinese, 434 Broadway San Francisco, (415) 392-8338, 1    , 2    , 2    
Hakkasan, Chinese, 1 Kearny St. San Francisco, (415) 829-8148, 1    , 2    , NaN  
House of Nanking, Chinese, 919 Kearny St. San Francisco, (415) 421-1429, 1    , 2    , 4    
Jai Yun, Chinese, 680 Clay San Francisco, (415) 981-7438, 3    , 2    , 3    
Lucky Fortune Seafood Restaurant, Chinese, 5715 Geary Blvd. San Francisco, (415) 751-2888, 1    , 2    , 2    
Mama Ji's, Chinese, 4416 18th St. San Francisco, (415) 626-4416, 1    , 2    , 2    
Mayflower, Chinese, 6255 Geary Blvd. San Francisco, (415) 387-8338, 1    , 2    , NaN  
Miriwa, Chinese, 728 Pacific San Francisco, (415) 433-5230, 1    , 2    , NaN  
Nan King Road Bistro, Chinese, 1360 9th Ave. San Francisco, (415) 753-2900, 1    , 2    , 2    
Shanghai Dumpling King, Chinese, 3319 Balboa St. San Francisco, (415) 387-2088, 1    , 2    , 3    
Taiwan Restaurant, Chinese, 445 Clement St. San Francisco, (415) 387-1789, 1    , 2    , NaN  
The Pot Sticker, Chinese, 150 Waverly Place San Francisco, (415) 397-9985, 1    , 2    , 1    
Wo Hing General Store, Chinese, 584 Valencia St. San Francisco, (415) 552-2510, 2    , 2    , 4    
Y. Ben House, Chinese, 835 Pacific Ave. San Francisco, (415) 397-3168, 1    , 2    , 4    
Mission Chinese Food, Chinese, 2234 Mission St. San Francisco, (415) 863-2800, 2    , 1.5  , 4    
Cheung Hing, Chinese, 2339 Noriega St. San Francisco, (415) 665-3271, 1    , 3    , 2    
China First, Chinese, 336 Clement St. San Francisco, (415) 387-8370, 1    , 2.5  , 3    
Hakka Restaurant, Chinese, 4401 Cabrillo St. San Francisco, (415) 876-6898, 2    , 3    , 2    
Henry's Hunan Restaurant, Chinese, 110 Natoma St. San Francisco, (415) 456-4999, 2    , 4    , 1    
Hunan Cafe No. 2, Chinese, 4450 Cabrillo St. San Francisco, (415) 751-1283, 1    , 3    , 2    
Just Won Ton, Chinese, 1241 Vicente St. San Francisco, (415) 681-2999, 1    , 2.5  , 2    
Tsing Tao Chinese, Chinese, 3107 Clement St San Francisco, (415) 387-2344, 1    , 2.5  , 2    
Shanghai House, Chinese, 3641 Balboa St. San Francisco, (415) 831-9288, 1    , 2.5  , 2    
Shangri-La Vegetarian Chinese, Chinese, 2026 Irving St. San Francisco, (415) 731-2548, 1    , 3    , 2    
Kappa, Japanese, 1700 Post St. San Francisco, (415) 673-6004, 3    , 3    , 1    
Keiko A Nob Hill, Japanese, 1250 Jones St. San Francisco, (415) 829-7141, 4    , 3    , 1    
Kyo-ya, Japanese, 2 New Montgomery San Francisco, (415) 546-5090, 4    , 3    , 1    
Nojo , Japanese, 231 Franklin St. San Francisco, (415) 896-4587, 2    , 3    , 5    
Yoshi's San Francisco, Japanese, 1330 Fillmore St. San Francisco, (415) 655-5600, 3    , 3    , 2    
Domo , Japanese, 511 Laguna St. San Francisco, (415) 861-8887, 2    , 2.5  , 3    
Eiji , Japanese, 317 Sanchez St. San Francisco, (415) 558-8149, 2    , 2.5  , 2    
Ichi Sushi + Ni Restaurant, Japanese, 3282 Mission St. San Francisco, (415) 525-4750, 3    , 2.5  , 4    
Izakaya Sozai, Japanese, 1500 Irving St. San Francisco, (415) 742-5122, 2    , 2.5  , 3    
Izakaya Yuzuki, Japanese, 598 Guerrero St. San Francisco, (415) 556-9898, 3    , 2.5  , 4    
Juban, Japanese, 1581 Webster St. San Francisco, (415) 776-5822, 1    , 2.5  , 2    
Kiji , Japanese, 1009 Guerrero St. San Francisco, (415) 282-0400, 2    , 2.5  , 2    
Koo  , Japanese, 408 Irving St. San Francisco, (415) 731-7077, 2    , 2.5  , 3    
Lunc , Japanese, 704 Sutter St. San Francisco, (415) 771-0803, 2    , 2.5  , NaN  
Maki , Japanese, 1825 Post St. San Francisco, (415) 921-5215, 2    , 2.5  , 3    
Minako, Japanese, 2154 Mission St. San Francisco, (415) 864-1888, 2    , 2.5  , 2    
Nagano Sushi, Japanese, 3727 Geary Blvd. San Francisco, (415) 221-9811, 2    , 2.5  , 2    
O Izakaya, Japanese, 1625 Post St. San Francisco, (415) 614-5431, 2    , 2.5  , 2    
Ozumo, Japanese, 161 Steuart St. San Francisco, (415) 882-1333, 4    , 2.5  , 3    
Roka Akor, Japanese, 801 Montgomery Street San Francisco, (415) 362-8887, 4    , 2.5  , 4    
Skool, Japanese, 1725 Alameda St. San Francisco, (415) 255-8800, 3    , 2.5  , 4    
Takara, Japanese, 22 Peace Plaza San Francisco, (415) 921-2000, 2    , 2.5  , 2    
Alexander's Steakhouse, Japanese, 448 Brannan St. San Francisco, (415) 495-1111, 4    , 2    , 4    
Blowfish Sushi to Die For, Japanese, 2170 Bryant St. San Francisco, (415) 285-3848, 2    , 2    , 4    
Daimaru Sushi, Japanese, 290 Sanchez San Francisco, (415) 863-9128, 2    , 2    , 3    
Ebisu, Japanese, 1283 Ninth Ave. San Francisco, (415) 566-1770, 2    , 2    , 4    
Hana Zen, Japanese, 115 Cyril Magnin San Francisco, (415) 421-2101, 2    , 2    , 2    
Iroha, Japanese, 1728 Buchanan St. San Francisco, (415) 922-0321, 1    , 2    , 2    
Izakaya Hashiboro Kou, Japanese, 1560 Fillmore St. San Francisco, (415) 441-9294, 3    , 2    , 3    
Izakaya Roku, Japanese, 1819 Market St. San Francisco, (415) 861-6500, 2    , 2    , 3    
Kabuto, Japanese, 5121 Geary Blvd. San Francisco, (415) 752-5652, 2    , 2    , 3    
Kappou Gomi, Japanese, 5524 Geary Blvd. San Francisco, (415) 221-5353, 3    , 2    , 1    
Kitaro Japanese Restaurant, Japanese, 5723 Geary Blvd. San Francisco, (415) 386-2777, 1    , 2    , 3    
Mifune, Japanese, 1737 Post St. San Francisco, (415) 922-0337, 1    , 2    , NaN  
Nombe, Japanese, 2491 Mission St. San Francisco, (415) 681-7150, 2    , 2    , 4    
Sakesan Sushi & Bistro, Japanese, 626 Clement St. San Francisco, (415) 876-6313, 3    , 2    , 3    
Sudachi, Japanese, 1217 Sutter St. San Francisco, (415) 931-6951, 2    , 2    , 2    
Tataki, Japanese, 2815 California St. San Francisco, (415) 931-1182, 3    , 2    , 4    
Tsunami Sushi & Sake Bar, Japanese, 1306 Fulton St. San Francisco, (415) 567-7664, 2    , 2    , 4    
Hotei, Japanese, 1290 Ninth Ave. San Francisco, (415) 753-6045, 1    , 1.5  , 3    
Moki's Sushi and Pacific Grill, Japanese, 615 Cortland Ave. San Francisco, (415) 970-9336, 2    , 1.5  , 3    
Coco Bang, Korean, 550 Taylor St. San Francisco, (415) 292-5144, 2    , 2    , 3    
Korea House, Korean, 1640 Post St. San Francisco, (415) 563-1388, 3    , 2    , 3    
Seoul Garden, Korean, 22 Peace Plaza San Francisco, (415) 563-7664, 2    , 2    , 3    
A16  , Italian, 2355 Chestnut St. San Francisco, (415) 771-2216, 3    , 3    , 4    
Acquerello, Italian, 1722 Sacramento St. San Francisco, (415) 567-5432, 4    , 4.5  , 1    
Ala Romana, Italian, 1098 Jackson St. San Francisco, (415) 292-3699, 3    , 2    , 4    
Albona Ristorante Istriano, Italian, 545 Francisco St. San Francisco, (415) 441-1040, 2    , 2.5  , 3    
Allegro, Italian, 1701 Jones St. San Francisco, (415) 928-4002, 2    , 2.5  , 2    
Amarena, Italian, 2162 Larkin St. San Francisco, (415) 447-0441, 2    , 1.5  , 3    
Americano Restaurant and Lounge, Italian, 8 Mission St. San Francisco, (415) 278-3777, 4    , 2.5  , 3    
Aperto, Italian, 1434 18th St. San Francisco, (415) 252-1625, 2    , 2    , 4    
Armani Cafe, Italian, 1 Grant Ave. San Francisco, (415) 677-9010, 2    , 2.5  , 2    
Barbacco, Italian, 230 California St. San Francisco, (415) 955-1919, 2    , 3    , 4    
Bella Trattoria, Italian, 3854 Geary Blvd. San Francisco, (415) 221-0305, 3    , 2.5  , 2    
Beretta, Italian, 1199 Valencia St. San Francisco, (415) 695-1199, 2    , 3    , 4    
Brindisi Cucina di Mare, Italian, 88 Belden Place San Francisco, (415) 593-8000, 2    , 2.5  , 3    
Cafe Altano, Italian, 602 Hayes St. San Francisco, (415) 252-1200, 2    , 2.5  , 2    
Cafe Tiramisu, Italian, 28 Belden Place San Francisco, (415) 421-7044, 3    , 2.5  , 3    
Cafe Zoetrope, Italian, 916 Kearny St. San Francisco, (415) 291-1700, 2    , 2    , 2    
Caffe d'Melanio, Italian, 1314 Ocean Ave. San Francisco, (415) 333-3665, 2    , 2.5  , 2    
Caffe Macaroni, Italian, 59 Columbus San Francisco, (415) 956-9737, 2    , 2.5  , 2    
Campanula, Italian, 701 Union St. San Francisco, (415) 829-7766, 2    , 1.5  , 4    
Capo's, Italian, 641 Vallejo St. San Francisco, (415) 986-8998, 3    , 2.5  , 4    
Capp's Corner, Italian, 1600 Powell St. San Francisco, (415) 989-2589, 2    , 2    , 3    
Chow , Italian, 215 Church St. San Francisco, (415) 552-2469, 1    , 3    , 3    
Claudine, Italian, 8 Claude Lane San Francisco, (415) 362-1988, 3    , 2.5  , 3    
Credo, Italian, 360 Pine St. San Francisco, (415) 693-0360, 4    , 1    , 5    
Cupola, Italian, 845 Market St. San Francisco, (415) 896-5600, 2    , 2.5  , 4    
Da Flora, Italian, 701 Columbus Ave. San Francisco, (415) 981-4664, 3    , 2.5  , 3    
Delfina, Italian, 3621 18th St. San Francisco, (415) 552-4055, 3    , 3    , 4    
Dino's Pizza & Dining, Italian, 2101 Fillmore St. San Francisco, (415) 922-4700, 2    , 2.5  , 3    
E'Angelo, Italian, 2234 Chestnut St. San Francisco, (415) 567-6164, 2    , 2.5  , 4    
Farina, Italian, 3560 18th St. San Francisco, (415) 565-0360, 4    , 1.5  , 3    
Figaro, Italian, 414 Columbus Ave. San Francisco, (415) 398-1300, 2    , 2    , 3    
Fino , Italian, 624 Post St. San Francisco, (415) 928-2080, 2    , 2    , 2    
Firewood Cafe, Italian, 4248 18th St. San Francisco, (415) 252-0999, 1    , 2.5  , 2    
Flour + Water, Italian, 2401 Harrison St. San Francisco, (415) 826-7000, 3    , 3    , 4    
Gialina, Italian, 2842 Diamond St San Francisco, (415) 239-8500, 2    , 3    , 5    
Gioia, Italian, 2240 Polk St. San Francisco, (415) 359-0971, 3    , 2.5  , 5    
Il Fornaio, Italian, 1265 Battery St. San Francisco, (415) 986-0100, 2    , 2    , 3    
Jackson Fillmore, Italian, 2506 Fillmore St. San Francisco, (415) 346-5288, 2    , 1.5  , 4    
Kuleto's, Italian, 221 Powell St. San Francisco, (415) 397-7720, 3    , 1    , 4    
L'Osteria Del Forno, Italian, 519 Columbus Ave. San Francisco, (415) 982-1124, 2    , 2    , 4    
La Ciccia, Italian, 291 30th St. San Francisco, (415) 550-8114, 3    , 2.5  , 4    
La Nebbia, Italian, 1781 Church St. San Francisco, (415) 874-9924, 2    , 2.5  , 4    
La Traviata, Italian, 2854 Mission St. San Francisco, (415) 282-0500, 2    , 2.5  , 3    
Leopold's, Italian, 2400 Polk St. San Francisco, (415) 474-2000, 2    , 2.5  , 5    
Little Joe's, Italian, 85 Fifth St. San Francisco, (415) 433-4343, 2    , 2    , 3    
Local Kitchen & Wine Merchant, Italian, 330 First St. San Francisco, (415) 777-4200, 2    , 2.5  , 4    
Locanda, Italian, 557 Valencia St. San Francisco, (415) 863-6800, 3    , 2.5  , 4    
Luce , Italian, 888 Howard St. San Francisco, (415) 616-6566, 4    , 2.5  , 2    
Lupa , Italian, 4109 24th St. San Francisco, (415) 282-5872, 2    , 2    , 3    
Macaroni Sciue Sciue, Italian, 124 Columbus Ave. San Francisco, (415) 217-8400, 1    , 2    , 3    
Manzoni, Italian, 2788 Diamond St. San Francisco, (415) 334-2251, 3    , 2    , 3    
Mescolanza, Italian, 2221 Clement St. San Francisco, (415) 668-2221, 2    , 2    , 3    
Mozzeria, Italian, 3228 16th St. San Francisco, (415) 489-0963, 2    , 2    , 3    
Nob Hill Cafe, Italian, 1152 Taylor St. San Francisco, (415) 776-6500, 2    , 2    , 3    
North Beach Restaurant, Italian, 1512 Stockton St. San Francisco, (415) 392-1700, 3    , 2    , 2    
Original Joe's, Italian, 601 Union St. San Francisco, (415) 775-4877, 3    , 2.5  , 3    
Osteria, Italian, 3277 Sacramento St. San Francisco, (415) 771-5030, 3    , 1.5  , 2    
Pane e Vino, Italian, 1715 Union St. San Francisco, (415) 346-2111, 3    , 1.5  , 3    
Park Chow, Italian, 1240 Ninth Ave. San Francisco, (415) 665-9912, 1    , 3    , 3    
Saison, American, 178 Townsend St. San Francisco, (415) 828-7990, 4    , 4    , 2    
Gary Danko, American, 800 North Point St. San Francisco, (415) 749-2060, 4    , 3.5  , 3    
Michael Mina, American, 252 California St. San Francisco, (415) 397-9222, 4    , 3.5  , 4    
One Market, American, 1 Market St. San Francisco, (415) 777-5577, 4    , 3.5  , 4    
Prospect, American, 300 Spear St. San Francisco, (415) 247-7770, 3    , 3.5  , 4    
Sons & Daughters, American, 708 Bush St. San Francisco, (415) 391-8311, 4    , 3.5  , 2    
Spruce, American, 3640 Sacramento St. San Francisco, (415) 931-5100, 4    , 3.5  , 3    
Abbot's Cellar, American, 742 Valencia St. San Francisco, (415) 626-8700, 4    , 3    , 4    
Bix  , American, 56 Gold St. San Francisco, (415) 433-6300, 4    , 3    , 4    
Boulevard, American, 1 Mission St. San Francisco, (415) 543-6084, 3    , 3    , 3    
Bourbon Steak, American, 335 Powell Street San Francisco, (415) 397-3003, 4    , 3    , 4    
Chenery Park, American, 683 Chenery St. San Francisco, (415) 337-8537, 2    , 3    , 3    
Chow , American, 215 Church St. San Francisco, (415) 552-2469, 1    , 3    , 3    
Commonwealth, American, 2224 Mission St. San Francisco, (415) 355-1500, 2    , 3    , 5    
Frances, American, 3870 17th St. San Francisco, (415) 621-3870, 3    , 3    , 5    
Marlowe, American, 330 Townsend St. San Francisco, (415) 974-5599, 3    , 3    , 5    
Nopalito, Mexican, 306 Broderick St. San Francisco, (415) 437-0303, 2    , 3    , 3    
Park Chow, American, 1240 Ninth Ave. San Francisco, (415) 665-9912, 1    , 3    , 3    
Park Tavern, American, 1652 Stockton St. San Francisco, (415) 989-7300, 3    , 3    , 4    
Range, American, 842 Valencia St. San Francisco, (415) 282-8283, 4    , 3    , 4    
St. Vincent, American, 1270 Valencia St. San Francisco, (415) 285-1200, 3    , 3    , 4    
The Cavalier, American, 360 Jessie St. San Francisco, (415) 321-6000, 3    , 3    , 5    
Tosca Cafe, American, 242 Columbus Ave. San Francisco, (415) 986-9651, 4    , 3    , 4    
Town Hall, American, 342 Howard St. San Francisco, (415) 908-3900, 4    , 3    , 5    
Trick Dog, American, 3010 20th St. San Francisco, (415) 471-2999, 1    , 3    , 5    
Trou Normand, American, 140 New Montgomery St. San Francisco, (415) 975-0976, 3    , 3    , 5    
Wayfare Tavern, American, 558 Sacramento St. San Francisco, (415) 772-9060, 3    , 3    , 4    
1300 on Fillmore, American, 1300 Fillmore San Francisco, (415) 771-7100, 4    , 2.5  , 3    
Baker & Banker, American, 1701 Octavia St. San Francisco, (415) 351-2500, 4    , 2.5  , 4    
Bar Agricole, American, 355 11th St. San Francisco, (415) 355-9400, 4    , 2.5  , 4    
Bar Jules, American, 609 Hayes St. San Francisco, (415) 621-5482, 4    , 2.5  , 4    
Circa, American, 2001 Chestnut St. San Francisco, (415) 351-0175, 2    , 2.5  , 4    
Comstock Saloon, American, 155 Columbus Ave. San Francisco, (415) 617-0071, 3    , 2.5  , 5    
Corner Store, American, 5 Masonic Avenue San Francisco, (415) 359-1800, 2    , 2.5  , 4    
Ella's, American, 500 Presidio Ave. San Francisco, (415) 441-5669, 2    , 2.5  , 2    
Fable, American, 558 Castro St. San Francisco, (415) 590-2404, 3    , 2.5  , 3    
Farmer Brown, American, 25 Mason St. San Francisco, (415) 409-3276, 3    , 2.5  , 4    
Firefly, American, 4288 24th St. San Francisco, (415) 821-7652, 3    , 2.5  , 3    
Fog City, American, 1300 Battery St. San Francisco, (415) 982-2000, 3    , 2.5  , 4    
Hard Water, American, Pier 3 on the Embarcadero San Francisco, (415) 392-3021, 3    , 2.5  , 5    
Hog & Rocks, American, 3431 19th St. San Francisco, (415) 550-8627, 2    , 2.5  , 5    
Kate's Kitchen, American, 471 Haight St. San Francisco, (415) 626-3984, 1    , 2.5  , 3    
Lark Creek Steak, American, 845 Market St. San Francisco, (415) 593-4100, 4    , 2.5  , 3    
Luna Park, American, 694 Valencia St. San Francisco, (415) 553-8584, 2    , 2.5  , 3    
Maverick, American, 3316 17th St. San Francisco, (415) 863-3061, 3    , 2.5  , 4    
Olea , American, 1494 California St. San Francisco, (415) 202-8521, 2    , 2.5  , 2    
Oola Restaurant & Bar, American, 860 Folsom St. San Francisco, (415) 995-2061, 3    , 2.5  , 3    
Outerlands, American, 4001 Judah Street San Francisco, (415) 661-6140, 3    , 2.5  , 5    
Plow , American, 1299 18th St. San Francisco, (415) 821-7569, 2    , 2.5  , 2    
PlumpJack's Balboa Cafe, American, 3199 Fillmore St. San Francisco, (415) 921-3944, 2    , 2.5  , 5    
Public House, American, 24 Willie Mays Plaza San Francisco, (415) 644-0240, 2    , 2.5  , 5    
RN74 , American, 301 Mission St. San Francisco, (415) 543-7474, 4    , 2.5  , 4    
Salt House, American, 545 Mission St. San Francisco, (415) 543-8900, 4    , 2.5  , 4    
Sam's Grill, American, 374 Bush St. San Francisco, (415) 421-0594, 3    , 2.5  , 3    
Stones Throw, American, 1896 Hyde St. San Francisco, (415) 674-4343, 4    , 2.5  , 4    
Supperclub, American, 657 Harrison St. San Francisco, (415) 348-0900, 4    , 2.5  , 4    
Sutro's at the Cliff House, American, 1090 Point Lobos San Francisco, (415) 386-3330, 4    , 2.5  , 3    
Tadich Grill, American, 240 California St. San Francisco, (415) 391-1849, 2    , 2.5  , 5    
TBD  , American, 1077 Mission St. San Francisco, (415) 431-1826, 3    , 2.5  , 5    
The Blue Plate, American, 3218 Mission St. San Francisco, (415) 282-6777, 3    , 2.5  , 4    
The Rotunda, American, 150 Stockton St. San Francisco, (415) 362-4777, 3    , 2.5  , 3    
Tipsy Pig, American, 2231 Chestnut St. San Francisco, (415) 292-2300, 2    , 2.5  , 5    
Universal Cafe, American, 2814 19th St. San Francisco, (415) 821-4608, 3    , 2.5  , 5    
Waterfront Restaurant and Cafe, American, Pier 7 on the Embarcadero San Francisco, (415) 391-2696, 3    , 2.5  , 4    
Woodward's Garden, California, 1700 Mission St. San Francisco, (415) 621-7122, 3    , 2.5  , 4    
1760 , American, 1760 Polk St. San Francisco, (415) 359-1212, 3    , 2    , 5    
21st Amendment Brewery Cafe, American, 563 Second St. San Francisco, (415) 369-0900, 2    , 2    , 5    
Bar Crudo, American, 655 Divisadero St. San Francisco, (415) 409-0679, 2    , 2    , 4    
Blue , American, 2337 Market St. San Francisco, (415) 863-2583, 1    , 2    , 5    
BlueJay Cafe, American, 919 Divisadero St. San Francisco, (415) 447-6066, 1    , 2    , 2    
Bluestem Brasserie, American, 1 Yerba Buena Lane San Francisco, (415) 547-1111, 3    , 2    , 4    
Brazen Head, American, 3166 Buchanan St. San Francisco, (415) 921-7600, 2    , 2    , 5    
Burritt Room + Tavern, American, 417 Stockton St. San Francisco, (415) 400-0561, 4    , 2    , 4    
Candybar, American, 1335 Fulton St. San Francisco, (415) 673-7078, 3    , 2    , 3    
Citizen's Band, American, 1198 Folsom St. San Francisco, (415) 556-4901, 3    , 2    , 4    
Fly  , American, 762 Divisadero St. San Francisco, (415) 931-4359, 1    , 2    , 5    
Garaje, American, 475 Third St. San Francisco, (415) 644-0838, 1    , 2    , 5    
Heirloom Cafe, American, 2500 Folsom St. San Francisco, (415) 821-2500, 3    , 2    , 3    
Herbivore, American, 531 Divisadero St. San Francisco, (415) 885-7133, 1    , 2    , 3    
3Hillstone (formerly Houston's), American, 1800 Montgomery St. San Francisco, (415) 392-9280, 3    , 2    , 3    
House of Prime Rib, American, 1906 Van Ness San Francisco, (415) 885-4605, 3    , 2    , 3    
Ironside, American, 680A Second St. San Francisco, (415) 896-1127, 3    , 2    , 4    
asper's Corner Tap, American, 401 Taylor St. San Francisco, (415) 775-7979, 2    , 2    , 4    
Joanie's Happy Days Diner, American, 1329 Columbus Ave. San Francisco, (415) 928-4343, 1    , 2    , 2    
Magnolia Gastropub & Brewery, American, 1398 Haight St. San Francisco, (415) 864-7468, 2    , 2    , 5    
Mason Pacific, American, 1358 Mason Street San Francisco, (415) 374-7185, 3    , 2    , 3    
Maxfield's, American, 2 New Montgomery St. San Francisco, (415) 546-5089, 2    , 2    , 3    
Miller's East Coast West Delicatessen, American, 1725 Polk St. San Francisco, (415) 563-3542, 2    , 2    , 1    
Monk's Kettle, American, 3141 16th St. San Francisco, (415) 865-9523, 2    , 2    , 5    
Nob Hill Grille, American, 969 Hyde St. San Francisco, (415) 474-5985, 2    , 2    , 1    
Palace, American, 3047 Mission Street San Francisco, (415) 666-5218, 2    , 2    , 3    
2Paragon Restaurant & Bar, American, 701 Second St. San Francisco, (415) 537-9020, 2    , 2    , 3    
Park Chalet, American, 1000 Great Hwy. San Francisco, (415) 386-8439, 2    , 2    , 4    
Perry's on the Embarcadero, American, 155 Steuart St. San Francisco, (415) 495-6500, 2    , 2    , 4    
Presidio Social Club, American, 563 Ruger St. San Francisco, (415) 885-1888, 3    , 2    , 4    
Morton's the Steakhouse, American, 400 Post St. San Francisco, (415) 986-5830, 3    , 1    , 5    
Globe, American, 290 Pacific San Francisco, (415) 391-4132, 2    , 1    , 4    
Boudin at the Wharf, American, 160 Jefferson St. San Francisco, (415) 928-1849, 3    , 1    , 2    
Washington Square Bar & Grill, American, 1707 Powell St. San Francisco, (415) 433-1188, 3    , 1.5  , 4    
Per Diem, American, 43 Sutter St. San Francisco, (415) 989-0300, 3    , 1.5  , 5    
'Wichcraft, American, 868 Mission St. San Francisco, (415) 593-3895, 1    , 1.5  , 3    
Woodhouse Fish Company, American, 2073 Market St. San Francisco, (415) 437-2722, 2    , 2    , 1    
Beach Chalet, American, 1000 Great Hwy. San Francisco, (415) 386-8439, 1    , 1.5  , 3    
Q    , American, 225 Clement St. San Francisco, (415) 752-2298, 2    , 2    , 4    
